timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,consensus_dbta,1,8,0.77
60.000,consensus_dbta,2,16,0.32
80.000,consensus_dbta,3,11,0.21
90.000,consensus_dbta,4,20,0.40
125.000,consensus_dbta,5,15,0.15
170.000,consensus_dbta,6,11,0.16
215.000,consensus_dbta,7,6,0.07
265.000,consensus_dbta,8,4,0.11
310.000,consensus_dbta,9,2,0.05
355.000,consensus_dbta,10,2,0.10
400.000,consensus_dbta,11,1,0.03
450.001,consensus_dbta,12,1,0.07
495.000,consensus_dbta,13,1,0.08
540.000,consensus_dbta,14,1,0.10
585.000,consensus_dbta,15,1,0.10
660.000,consensus_dbta,16,1,0.09
710.000,consensus_dbta,17,1,0.12
755.000,consensus_dbta,18,1,0.07
800.000,consensus_dbta,19,1,0.06
845.000,consensus_dbta,20,1,0.09
895.000,consensus_dbta,21,1,0.09
